mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
9.523001114527384,1.2330804068575338,1.3537269433339436,0.23253147539398203,10,0.8,4,6,260,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 260}",-5.813728458219812,-5.323430134788717,-5.584518071893718,-5.5738922216340825,0.20030442333298695,11,-3.8206411847061097,-4.071841159675794,-3.969511194972114,-3.953997846451339,0.10313697960459453
14.863614559173584,0.13035274151258996,0.615454355875651,0.04053034378445386,10,0.8,4,2,289,"{'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 289}",-5.815380320889263,-5.320244631634078,-5.58679391001813,-5.5741396208471565,0.20233624814380755,12,-3.8197414648152823,-4.0750157483914125,-3.974291598031438,-3.9563496037460446,0.1049846856547165
16.213362614313763,0.7741603427262349,2.3751913706461587,0.3923811799253986,30,sqrt,4,7,341,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 341}",-5.884262587859792,-5.424618202681543,-5.497939796608818,-5.602273529050051,0.2016306623512598,13,-3.7602612533112083,-3.987963641361511,-3.932538948664113,-3.893587947778944,0.0969535274703642
20.532127221425373,1.7412122279356623,3.7968868414560952,1.387298674648008,20,sqrt,1,8,373,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 373}",-5.84820487390391,-5.450977339961347,-5.515188537002096,-5.604790250289118,0.17410490840965154,14,-3.125251694800801,-3.280708306262336,-3.244313325365378,-3.2167577754761716,0.06638860725078308
18.690152168273926,3.3999519031971834,2.134910742441813,0.5340864424392028,30,log2,5,5,444,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 444}",-5.905153785039063,-5.438835069469427,-5.526516895249596,-5.623501916586029,0.2023492968365184,15,-4.036982052068882,-4.25844921781215,-4.205691142827208,-4.16704080423608,0.09445391426685541
16.47486488024394,2.723550082137254,5.143103917439778,1.4412444012587844,30,sqrt,5,8,221,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 221}",-5.918218822504059,-5.451770378090524,-5.523082801706377,-5.631024000766987,0.20515362481960236,16,-4.03765322394723,-4.264708604482543,-4.215083375750237,-4.17248173472667,0.09746695618151673
10.41737174987793,1.7708878997151882,7.214710712432861,0.784726091556882,10,sqrt,2,6,485,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 485}",-5.958267522522542,-5.572058897226005,-5.644425156345957,-5.724917192031501,0.16762756618957889,17,-4.2261107044427675,-4.4339976125933775,-4.342497100061441,-4.334201805699195,0.0850719326081259
14.15821131070455,1.817839245417098,5.304977178573608,0.12822024581344332,10,log2,4,7,290,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 290}",-5.9764725180415095,-5.551485913425277,-5.649746658889264,-5.72590169678535,0.18166470189798228,18,-4.463860587487544,-4.69304438864532,-4.619272985220523,-4.592059320451129,0.09552221850061005
12.090609153111776,0.9357395707791978,3.15222430229187,2.021500893941226,10,log2,4,3,301,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 301}",-5.976282507102554,-5.556159490904955,-5.652093888739635,-5.728178628915715,0.17975446763198633,19,-4.46534842462707,-4.694404188940824,-4.620105826137104,-4.593286146568333,0.09541525804072855
9.683560768763224,1.2132527425302828,7.216332197189331,0.6269587389848365,10,log2,3,5,154,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 154}",-6.000428947193024,-5.5986233483048515,-5.661546032787858,-5.753532776095245,0.17646171545634662,20,-4.373651945368838,-4.555532659752775,-4.483443276648355,-4.470875960589989,0.07478235817306107
