mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
56.78385138511658,1.1913953573067828,0.1046007474263509,0.002247723120073165,0.08322913548258405,4,6,585,0.8736932106048627,"{'learning_rate': np.float64(0.08322913548258405), 'max_depth': 4, 'min_samples_split': 6, 'n_estimators': 585, 'subsample': np.float64(0.8736932106048627)}",-5.693875371371446,-5.4726293421074015,-5.388196197944515,-5.51823363714112,0.12889208163132657,11,-2.3356325694479967,-2.394630304901796,-2.4086252761679217,-2.3796293835059044,0.03163072915820443
42.12322735786438,0.7755231426394116,0.15402714411417642,0.003202202733724176,0.09077961615333649,4,5,509,0.6125253169822235,"{'learning_rate': np.float64(0.09077961615333649), 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 509, 'subsample': np.float64(0.6125253169822235)}",-5.704915296271613,-5.501877055840127,-5.391769643826484,-5.532853998646075,0.1297040943854477,12,-2.460878884764975,-2.520812457868556,-2.4956273861788256,-2.4924395762707854,0.024571391159203954
44.885218938191734,0.6844691389781203,0.12691068649291992,0.01063813722337982,0.09868494971711618,7,4,334,0.6682096494749166,"{'learning_rate': np.float64(0.09868494971711618), 'max_depth': 7, 'min_samples_split': 4, 'n_estimators': 334, 'subsample': np.float64(0.6682096494749166)}",-5.6440688663720815,-5.416553253520416,-5.57821225597175,-5.546278125288082,0.09558828397423484,13,-0.7328194015234636,-0.7906273875282886,-0.7394280064305231,-0.7542915984940918,0.025834545196405132
43.418727238972984,0.8028810842556721,0.15073251724243164,0.012718493001924186,0.09362897381052425,6,6,463,0.6137554084460873,"{'learning_rate': np.float64(0.09362897381052425), 'max_depth': 6, 'min_samples_split': 6, 'n_estimators': 463, 'subsample': np.float64(0.6137554084460873)}",-5.705574516927409,-5.399080642010569,-5.591880655989614,-5.565511938309197,0.1265071955646978,14,-1.0628995986490635,-1.108473266616454,-1.0717151425034739,-1.0810293359229972,0.019736690912996006
61.65947993596395,0.6913825430607506,0.2156076431274414,0.025038996561113767,0.12360099597410618,6,2,389,0.7301321323053057,"{'learning_rate': np.float64(0.12360099597410618), 'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 389, 'subsample': np.float64(0.7301321323053057)}",-5.7657721578379615,-5.477402429194741,-5.559638665575656,-5.600937750869452,0.12129436902021856,15,-0.8299738900954704,-0.8595188641240358,-0.8238311147506157,-0.8377746229900406,0.015578670013928965
84.44204290707906,0.28375899865189,0.18381269772847494,0.008751981595526273,0.17003410717304973,6,3,401,0.9579309401710595,"{'learning_rate': np.float64(0.17003410717304973), 'max_depth': 6, 'min_samples_split': 3, 'n_estimators': 401, 'subsample': np.float64(0.9579309401710595)}",-5.69945515178611,-5.4697873005208075,-5.6841311495975875,-5.6177912006348345,0.10484137890957225,16,-0.5416127333364722,-0.5914351142424755,-0.5461613955134799,-0.5597364143641426,0.022491157705234684
79.44232734044392,1.0792617195761762,0.21945985158284506,0.011160305938382865,0.12621410049277337,7,5,544,0.7164916560792167,"{'learning_rate': np.float64(0.12621410049277337), 'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 544, 'subsample': np.float64(0.7164916560792167)}",-5.732350122310554,-5.53933692370854,-5.6464123067874885,-5.639366450935527,0.07895465691209543,17,-0.2090646439053852,-0.2038557303692327,-0.20267087676419474,-0.2051970836796042,0.00277722716528257
95.83838804562886,0.8883974043755709,0.24607062339782715,0.018469132737171073,0.1827708763949686,6,3,559,0.902144564127061,"{'learning_rate': np.float64(0.1827708763949686), 'max_depth': 6, 'min_samples_split': 3, 'n_estimators': 559, 'subsample': np.float64(0.902144564127061)}",-5.792824583494771,-5.550112107554695,-5.6185749373946505,-5.653837209481373,0.10217601600107848,18,-0.23517716230826918,-0.25684753893999385,-0.24810221967338658,-0.2467089736405499,0.0089015787633884
42.329993724823,1.2745984256011955,0.033449252446492515,0.004376816093269465,0.16013335270092907,5,6,430,0.8604308102007778,"{'learning_rate': np.float64(0.16013335270092907), 'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 430, 'subsample': np.float64(0.8604308102007778)}",-5.77240960468013,-5.587961836483586,-5.613754871715726,-5.6580421042931475,0.0815526988116534,19,-1.1421020017763108,-1.155371863451466,-1.1658389533482394,-1.1544376061920054,0.009713061479340132
48.89386240641276,0.4472414246652482,0.08270613352457683,0.02454406552842429,0.16816410175208013,4,5,476,0.8469926038510867,"{'learning_rate': np.float64(0.16816410175208013), 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 476, 'subsample': np.float64(0.8469926038510867)}",-5.833759113587241,-5.571512659173306,-5.569949095842013,-5.658406956200853,0.12399434263335839,20,-1.6929839532561015,-1.767707264248473,-1.7671037182222586,-1.7425983119089443,0.03508351469803763
